@relation whatever

@attribute A { 0 , 1 } 
@attribute S { 1 , 0 } 
@attribute J { 0 , 1 } 
@attribute O { 0 , 1 } 
@attribute AS numeric
@attribute R { 0 , 1 } 


@data
0 , 1 , 0 , 0 , 846.0 , 0 
0 , 1 , 0 , 0 , 846.0 , 0 
1 , 0 , 0 , 0 , 846.0 , 0 
0 , 1 , 0 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 0 , 1 , 808.0 , 1 
0 , 1 , 0 , 0 , 846.0 , 0 
1 , 1 , 1 , 1 , 806.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 0 , 0 , 818.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 1 , 0 , 0 , 846.0 , 0 
1 , 1 , 0 , 1 , 810.0 , 1 
1 , 1 , 0 , 1 , 838.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 1 , 1 , 838.0 , 1 
0 , 1 , 0 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 1 , 1 , 0 , 766.0 , 1 
0 , 1 , 0 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 1 , 0 , 1 , 810.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 1 , 1 , 846.0 , 1 
0 , 1 , 0 , 0 , 846.0 , 0 
0 , 1 , 0 , 0 , 846.0 , 0 
1 , 0 , 0 , 0 , 846.0 , 1 
0 , 1 , 0 , 0 , 844.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 0 , 0 , 810.0 , 1 
0 , 1 , 1 , 1 , 770.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 1 , 0 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 0 , 1 , 838.0 , 1 
1 , 1 , 0 , 1 , 846.0 , 1 
1 , 0 , 0 , 0 , 846.0 , 0 
0 , 1 , 0 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 1 , 1 , 802.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 0 , 0 , 0 , 846.0 , 0 
0 , 1 , 0 , 1 , 810.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 1 , 1 , 824.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 0 , 0 , 0 , 846.0 , 0 
0 , 1 , 0 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 1 , 1 , 804.0 , 1 
1 , 1 , 1 , 1 , 846.0 , 1 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
0 , 0 , 1 , 0 , 846.0 , 0 
1 , 1 , 0 , 1 , 730.0 , 1 
1 , 0 , 1 , 0 , 818.0 , 1 
1 , 0 , 0 , 0 , 846.0 , 0 
1 , 1 , 0 , 1 , 788.0 , 1 
